filename,z0,z1
MgMnRh2.png,5.055392,2.8481865
MgNbRh2.png,4.2303405,0.6784518
MgNi2Sn.png,5.6895275,3.364708
MgPd2Au.png,0.8569712,3.8581192
MgRh2Pb.png,0.95441955,4.2330604
MgRu2W.png,3.0370977,3.4264162
MgSc2Al.png,6.050055,2.573275
MgSc2Cd.png,6.016084,1.8767444
MgSc2Hg.png,5.8671594,1.9230564
MgSc2In.png,6.2623897,2.4950433
MgSc2Tl.png,6.274256,2.5155132
MgScAg2.png,8.849526,0.94288063
MgScAu2.png,8.102991,2.3273935
MgScCd2.png,9.113581,1.2041749
MgScHg2.png,9.147675,1.2297082
MgScPd2.png,5.9904356,7.077534
MgScPt2.png,5.693731,6.602258
MgScRh2.png,0.6006343,3.7727218
MgScZn2.png,5.5485525,1.789843
MgSiIr2.png,1.0305213,4.175269
MgSiRh2.png,0.6288087,4.443302
MgSnIr2.png,6.944178,1.9652274
MgSnPd2.png,8.973314,3.200796
MgSnRh2.png,0.5496245,4.299676
MgTaIr2.png,3.9443762,0.34686214
MgTaOs2.png,4.3775454,2.5039868
MgTaRh2.png,4.139837,0.73104674
MgTaRu2.png,2.7700765,2.06129
MgTiIr2.png,3.1760447,2.2696402
MgTlRh2.png,5.056844,3.3643117
MgVRu2.png,2.938796,3.4656093
MgZn2Ir.png,5.594574,5.86791
MgZnAg2.png,9.375289,3.3738108
MgZnAu2.png,9.404927,3.459805
MgZnPd2.png,0.4938888,5.3258624
MgZnRh2.png,0.6802408,3.9871554
MgZrAu2.png,8.987513,1.1400149
MgZrPd2.png,9.369608,4.9042215
MgZrPt2.png,9.45273,4.580901
MgZrRh2.png,2.249516,2.0273457
Mn2AlV.png,5.3965664,3.3984175
Mn2AlW.png,5.533914,3.2567513
Mn2CrCo.png,6.6516776,2.8206015
Mn2IrRh.png,5.584317,0.83761907
Mn2NbAl.png,6.882216,3.4196908
Mn2PdPt.png,3.7604034,1.0407243
Mn2VSi.png,6.2442436,3.4697196
MnAlAu2.png,7.298193,1.7513901
MnAlCo2.png,5.7086997,0.634176
MnAlFe2.png,6.5445333,2.7702122
MnAlIr2.png,4.9302015,2.3120623
MnAlNi2.png,5.945781,3.666376
MnAlOs2.png,5.956007,2.035786
MnCo2Ge.png,5.5508275,3.2826755
MnCo2Si.png,4.85124,3.631893
MnCo2Sn.png,4.896201,3.7470374
