filename,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48
Al2FeCo.png,3.4050527,2.6557443,4.182854,5.6681776,2.8409379,3.796423,2.9630468,3.0745213,1.6945982,1.4900489,3.3204796,1.8620784,2.5085928,2.4058466,2.182488,1.8831931,0.0,0.19744742,1.291657,0.0,2.626903,0.0,0.0,1.2918153,2.13142,0.0,0.0,0.7943327,1.9807943,3.86161,1.8257275,0.0,1.257791,2.308276,3.9961014,1.4929669,0.0,0.0,0.0,0.0,0.0,0.0,2.5306604,1.5959239,2.8707914,2.6145358,2.4274938,2.8619823,2.4028842
Al2FeIr.png,0.9402424,3.3018692,3.5966911,3.6374545,2.761142,3.8758717,2.7857091,3.9304986,0.8649545,2.7126136,3.9845781,4.572863,3.3743267,1.7542892,0.0,0.43547872,0.0,0.331257,0.0,0.5551383,0.0,2.7907488,3.3602066,2.108648,0.0,0.17934895,0.0,3.7853484,2.797836,0.0,2.8079073,0.3632524,3.2845452,2.4295402,1.4201,1.5630822,2.3120546,1.9982074,2.3765116,2.208104,1.9016051,2.4388654,3.061965,1.8432274,2.1759653,3.1649,0.0,0.0,2.9166708
Al2IrRh.png,4.6302795,3.7813373,2.9621801,3.527417,4.96814,2.8648758,3.8430874,3.187869,3.219709,1.535472,2.127356,2.4091027,2.0759146,3.6788487,1.107065,2.0377703,2.4846046,2.304578,0.0,0.0,3.5653539,0.0,2.9220257,1.970724,1.9706162,0.0,2.5091782,2.9377456,0.0,1.7396084,0.0,0.0,2.250028,0.0,1.6268849,4.186495,2.432683,0.1023601,1.9616628,0.07812007,1.4928691,3.569944,2.0362659,3.4718258,3.0270095,2.730469,2.5796556,3.0990505,3.2222202
Al2NiRu.png,4.791669,3.635785,3.5988712,5.2698383,2.8886933,4.1658726,3.942294,2.2478516,2.606705,1.1819255,1.7367655,2.5159724,0.9822188,2.7991672,2.8864179,2.4489775,1.8244345,1.202771,1.7333907,0.0,3.7385058,2.0234644,4.3740788,2.2935994,2.1574383,1.9567816,2.7225819,4.522914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1829224,4.026785,3.279439,0.090829015,3.418151,2.7443857,4.939543,1.628357,0.3891678,0.8481373,0.16570397,1.8570552,0.3055489,1.1584036
Al2PdRu.png,4.809855,4.413001,3.0755823,3.4275103,4.398243,3.811822,4.445736,2.5342891,2.1730406,2.9554243,2.1533897,4.2502294,1.8554839,3.1216557,2.697483,3.421686,2.4484637,2.3527663,1.6237911,0.0,4.008716,1.7661228,3.8433902,2.4066434,1.7083534,0.97506374,1.788944,3.6796052,1.7804534,0.41610682,0.41049618,2.0210662,0.0,0.0,1.2006568,3.0914364,2.3887439,2.6222305,2.3413901,3.7262673,2.8882265,2.6279655,2.5876925,2.7401667,2.2991464,1.3006202,0.038994193,2.1391623,2.7905173
Al2RuPt.png,4.8636065,3.4493003,3.575739,3.4147668,3.9524076,3.286929,3.461971,2.6108444,2.1001627,1.6661972,2.458132,2.2508893,2.655894,2.8377447,3.3516307,2.3482745,3.2360566,2.0198274,0.84068656,0.0,3.5462198,0.0,2.6987646,2.3664703,2.1684904,2.2890046,1.770163,2.854158,2.0563316,0.0,0.0,1.8334012,0.0,0.0,0.0,3.5600412,2.0154872,2.1975398,0.06564146,3.4549105,3.0338402,2.2072177,2.7685509,2.656455,3.1736531,2.4672563,2.3128128,2.2267032,2.940985
AlCrRu2.png,4.220276,6.161198,3.7996552,3.8305452,4.3625593,3.0579314,6.2434244,1.1960168,2.82909,2.5816069,0.36401814,2.1308239,3.9346132,2.536343,0.5999364,0.0,1.0397418,0.57136583,0.63321173,0.0,0.0,0.0,0.0,2.6439412,3.1814466,0.00081173703,1.5718328,0.0883057,2.839078,0.03730623,2.4888573,0.0,0.0,3.124724,0.08256545,2.136031,2.352187,0.046426274,0.0,0.0,0.093318686,2.260357,4.18047,3.7936425,2.515499,4.3600845,0.16636428,2.176352,4.160013
AlCuAu2.png,0.0,3.5324707,5.1407475,5.0440755,3.503776,4.105213,3.2005217,3.3314111,1.4056419,1.9664167,2.8981845,0.98529756,3.0973225,1.7246388,3.6965258,0.66602564,0.0,1.7898645,1.2334427,2.1921282,2.682351,1.8136495,0.0,3.8654718,0.06739184,2.9759808,2.4158099,2.856017,3.4245036,3.5162456,2.633667,1.9714228,3.5164154,0.0,4.5362325,3.0264964,5.043763,2.066029,3.7568521,1.3747194,2.1833067,5.321097,0.59394246,0.0,0.0,0.0,1.217002,0.2680416,0.0
AlFe2Si.png,0.0,3.5499282,4.4005327,5.612246,3.6318398,2.8136382,3.5154314,2.4911754,1.4071742,2.3786423,2.8306603,2.5574691,3.0462139,1.3619704,0.0,0.0,0.9104366,0.48213542,0.0,0.60423124,0.0,0.046497136,0.0071926564,2.0718963,3.5806878,0.0,0.0,2.0532796,0.017514108,2.7081258,0.0,0.0,0.70698035,0.07397511,2.7009654,0.0,0.0,1.4533339,0.17221709,2.5502272,2.4006906,0.0,2.4841938,3.4335184,1.8232335,2.182644,2.8899097,2.1721156,3.4304729
AlFe2W.png,4.466709,5.306871,6.0683565,5.5710173,5.767887,5.2589145,5.114078,1.7367054,2.358665,1.9545716,2.2188287,1.9604199,2.1657138,2.7204728,0.0,0.4438634,0.0,0.0,0.0,0.0,1.0856161,3.1473694,0.013145316,2.9836984,2.5034714,0.67763984,2.4418736,2.3507886,1.8206742,1.8606639,0.0,0.0,0.0,0.0,1.814939,0.008668259,2.0752316,3.8779278,2.533315,0.0,2.22995,2.270286,3.3291683,0.0,1.9846838,0.99107206,4.535229,2.313672,1.7478435
