filename,z0,z1
Mg2AgAu.png,0.27351618,4.941716
Mg2AgHg.png,-1.4962796,5.5486174
Mg2AgPt.png,1.4013256,3.8478382
Mg2AgRh.png,6.181838,-0.91636795
Mg2IrPt.png,3.481159,-0.21284646
Mg2PdPt.png,6.195158,-0.8336454
Mg2PtRh.png,3.5732427,-0.22914901
Mg2RhAu.png,6.1899896,-0.94095236
MgAlAg2.png,-1.404451,5.4691625
MgAlPd2.png,1.5083318,3.8767273
MgAlRh2.png,4.9515214,-1.2976034
MgCdAg2.png,0.28579742,4.949954
MgFeRh2.png,0.8885044,-1.2507226
MgGaAg2.png,-1.4969771,5.5994925
MgGaIr2.png,3.1654234,-0.620423
MgGaNi2.png,2.4020648,1.9794773
MgGaPd2.png,1.5300503,3.8470047
MgGaPt2.png,1.7701507,3.4547386
MgGaRh2.png,4.9604564,-1.3526868
MgGeRh2.png,5.498113,-1.2781701
MgHgPd2.png,6.1370287,-0.76125777
MgInPd2.png,1.5941081,3.77171
MgInRh2.png,3.5870364,-0.18514864
MgMnPd2.png,1.2729791,1.8767887
MgMnRh2.png,-0.06509208,1.1297976
MgNbRh2.png,0.43340153,1.3592713
MgNi2Sn.png,2.4149766,1.2719823
MgPd2Au.png,5.5211053,-0.6521252
MgRh2Pb.png,2.4270253,2.1096613
MgRu2W.png,0.13015,-0.34934738
MgSc2Al.png,-3.436544,5.5443544
MgSc2Cd.png,-3.3448,5.578662
MgSc2Hg.png,-3.3248634,5.6152267
MgSc2In.png,-3.4903674,5.514089
MgSc2Tl.png,-3.500532,5.5527987
MgScAg2.png,-1.6292801,4.818513
MgScAu2.png,-1.6687871,5.4342813
MgScCd2.png,-2.0937521,5.3950777
MgScHg2.png,-2.2500527,5.39709
MgScPd2.png,0.8672476,3.3682764
MgScPt2.png,0.9539002,3.2646036
MgScRh2.png,0.067920074,-1.6532584
MgScZn2.png,-1.7804202,5.6225934
MgSiIr2.png,3.5974267,-0.91675574
MgSiRh2.png,4.858036,-1.6924562
MgSnIr2.png,3.3332763,-0.12147743
MgSnPd2.png,0.3447341,4.356701
MgSnRh2.png,4.813533,-1.6832693
MgTaIr2.png,0.8888099,-0.78051585
MgTaOs2.png,0.30146763,-0.6143096
MgTaRh2.png,0.61660576,-0.36076102
MgTaRu2.png,0.62863046,-2.3544796
MgTiIr2.png,0.8335005,-0.6663067
MgTlRh2.png,3.5449262,-0.14988817
MgVRu2.png,0.2615104,0.36888814
